UserId;avg_romance;std_romance;count_romance;avg_drama;std_drama;count_drama;avg_comedy;std_comedy;count_comedy;avg_horror;std_horror;count_horror;avg_action;std_action;count_action;avg_scifi;std_scifi;count_scifi
15;3.7705;1.0306;61;3.6600;1.1304;150;3.4462;1.0674;195;3.0000;0.9487;20;3.4538;1.1296;249;3.4554;1.2549;101
20;2.8750;1.2686;8;4.2045;1.0783;44;3.7917;1.2240;24;5.0000;0.0000;1;4.2456;0.9603;57;4.3750;0.7806;16
21;3.5000;0.9063;14;3.8193;0.8663;83;3.8049;0.7721;41;2.3333;0.7454;6;3.9333;0.9141;75;3.4783;1.1371;23
22;;;0;;;0;;;0;4.0000;0.0000;1;4.0000;0.0000;1;4.0000;0.0000;1
23;4.0000;0.0000;1;3.7500;0.4330;4;4.5000;0.5000;2;;;0;4.5000;0.5000;2;3.5000;0.5000;2
24;4.2500;0.4330;4;4.1500;0.5723;20;4.0000;0.5000;8;3.0000;0.0000;1;4.3333;0.7454;6;4.0000;0.7071;4
25;3.3000;1.0050;10;3.5918;0.9017;49;3.4048;0.9527;42;3.0000;0.8165;6;3.0938;1.1554;32;3.1250;1.2686;8
26;3.7143;1.0302;7;3.7907;1.2115;43;4.0323;0.6949;31;4.0000;1.2247;4;3.6327;1.2729;49;3.3529;1.4928;17
27;2.0000;0.0000;3;3.4000;1.1431;15;3.4118;1.0323;17;;;0;3.8000;0.4000;5;4.0000;1.0000;2
28;2.0000;1.0954;5;3.2222;1.2717;18;2.9474;1.2762;19;;;0;3.5000;0.5000;2;3.0000;0.0000;1
29;;;0;3.0000;0.0000;1;;;0;;;0;;;0;;;0
30;1.0000;0.0000;1;4.0000;0.0000;1;;;0;4.0000;0.0000;1;;;0;;;0
31;3.6429;1.0147;70;4.0147;0.9314;68;3.7292;0.9840;96;;;0;3.9455;0.8184;55;3.5714;1.0498;14
33;2.9231;1.1067;26;3.5102;1.1973;49;3.3043;1.1955;46;5.0000;0.0000;1;3.6000;1.0198;10;4.0000;1.0000;2
34;;;0;4.0000;0.0000;1;;;0;;;0;4.0000;0.0000;1;;;0
35;3.8571;0.6389;14;4.0000;0.8799;31;3.7188;0.8379;32;3.1429;1.0817;21;3.7941;1.1576;34;3.9286;1.0326;14
37;2.5000;0.5000;2;3.4444;0.9558;9;3.6667;1.2472;3;;;0;3.0000;0.8165;3;4.0000;0.0000;1
38;;;0;3.0000;0.0000;1;;;0;;;0;;;0;;;0
39;;;0;3.0000;0.0000;1;;;0;3.0000;0.0000;1;3.7500;0.4330;4;;;0
40;;;0;;;0;;;0;;;0;1.0000;0.0000;1;;;0
41;3.3333;0.4714;3;3.0000;0.0000;2;4.0000;0.0000;1;;;0;3.3333;1.2472;3;;;0
42;4.0000;0.0000;1;3.6429;1.3420;14;4.0833;0.8620;12;3.0000;0.0000;3;3.6250;1.3636;16;2.4286;1.0498;7
43;5.0000;0.0000;3;4.5455;0.6556;22;4.5556;0.6849;9;;;0;4.0000;0.0000;1;;;0
45;3.0000;0.0000;1;4.5000;0.7638;6;3.3333;0.9428;3;;;0;4.2857;1.0302;7;;;0
47;;;0;3.0000;0.0000;1;;;0;;;0;;;0;;;0
