"UserId","Rating","Genre1","Genre2","Genre3"
"23","5","Comedy","0","0"
"21","3","Comedy","Biography","Drama"
"21","4","Comedy","Drama","Romance"
"22","4","Action","Horror","Sci-Fi"
"21","3","Adventure","Drama","Romance"
"20","5","Drama","0","0"
"21","3","Action","Crime","Thriller"
"15","4","Comedy","Romance","Romance"
"23","4","Action","Adventure","Thriller"
"26","5","Action","Comedy","Crime"
"26","4","Action","Adventure","Thriller"
"26","1","Action","Mystery","Thriller"
"27","2","Comedy","Drama","Romance"
"28","2","Comedy","Drama","Romance"
"29","3","Drama","Mystery","Thriller"
"30","4","Drama","Horror","0"
"30","1","Romance","0","0"
"31","3","Comedy","Drama","Romance"
"31","4","Action","Biography","Drama"
"33","3","Comedy","Biography","Drama"
"33","4","Comedy","Drama","Romance"
"34","4","Action","Adventure","Drama"
"35","1","Action","Comedy","0"
"35","3","Action","Adventure","Drama"
"35","4","Action","Crime","Thriller"
"27","4","Action","Adventure","Thriller"
"27","5","Sci-Fi","Mystery","Drama"
"31","4","Comedy","Romance","0"
"31","3","Drama","Romance","0"
"23","4","Drama","Romance","0"
"21","4","Action","Comedy","Crime"
"23","3","Drama","Sci-Fi","Thriller"
"21","4","Crime","Drama","Mystery"
"28","2","Adventure","Comedy","Drama"
"26","3","Action","Comedy","Crime"
"28","4","Comedy","0","0"
"35","4","Crime","Drama","Mystery"
"35","3","Horror","Thriller","0"
"33","5","Comedy","Music","Romance"
"21","5","Documentary","Comedy","0"
"37","4","Adventure","Fantasy","Mystery"
"38","3","Crime","Drama","Mystery"
"27","3","Adventure","Comedy","Drama"
"27","4","Action","Adventure","Comedy"
"27","4","Action","Animation","Crime"
"39","3","Action","Adventure","History"
"39","3","Drama","Horror","Thriller"
"39","4","Action","Mystery","Thriller"
"39","4","Action","Adventure","Thriller"
"40","1","Action","Mystery","Thriller"
"21","3","Action","Comedy","Crime"
"21","5","Crime","Drama","Thriller"
"31","5","Action","Drama","Thriller"
"20","4","Action","Comedy","Crime"
"31","3","Comedy","Drama","Romance"
"25","4","Action","Biography","Drama"
"25","5","Action","Mystery","Sci-Fi"
"25","2","Action","Crime","Thriller"
